2025-11-23 17:47:29,848 DEBUG src.app.db.init_db: Actualización omitida o ya aplicada: CREATE INDEX IF NOT EXISTS idx_orden_detalles_producto ON orden_detalles(producto_id);
2025-11-23 17:47:39,916 DEBUG matplotlib.font_manager: findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-11-23 17:47:39,921 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-11-23 17:47:39,922 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,923 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-23 17:47:39,923 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-11-23 17:47:39,924 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,925 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,926 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-23 17:47:39,927 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,928 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,929 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,929 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-11-23 17:47:39,930 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-11-23 17:47:39,931 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-23 17:47:39,932 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-11-23 17:47:39,934 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-11-23 17:47:39,934 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-11-23 17:47:39,935 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-23 17:47:39,938 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-11-23 17:47:39,939 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-11-23 17:47:39,941 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-11-23 17:47:39,942 DEBUG matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Herasmo\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
